name,soil_texture,soil_ph_min,soil_ph_max,organic_matter,drainage_status,rainfall_min,rainfall_max,temperature_min,temperature_max,season,previous_crop,description
Rice,clay,5.5,7.0,medium,poor,1200,2500,22,32,kharif,pulses,"India's staple cereal crop grown in flooded fields. Rich in carbohydrates and feeds over half the world's population. Requires abundant water and warm climate."
Wheat,loamy,6.0,7.5,medium,well_drained,300,750,15,25,rabi,rice,"Second most important cereal crop in India. Grown in northern plains during winter season. Primary source of protein and energy for millions."
Maize,loamy,6.0,7.5,high,well_drained,600,1200,20,30,kharif,wheat,"Versatile cereal crop used for food feed and industrial purposes. Known as corn in many regions. Third most important cereal globally."
Barley,loamy,6.0,8.5,medium,well_drained,450,650,12,22,rabi,rice,"Ancient cereal crop cultivated for over 10000 years. Used for food brewing and animal feed. Highly tolerant to salinity and drought."
Jowar (Sorghum),sandy,6.0,8.5,low,well_drained,400,750,26,30,kharif,cotton,"Drought-resistant cereal crop native to Africa but widely grown in India. Excellent source of protein fiber and antioxidants."
Bajra (Pearl Millet),sandy,6.5,8.0,low,well_drained,200,500,25,35,kharif,pulses,"Highly nutritious millet crop extremely drought-tolerant. Rich in iron calcium and protein. Indigenous to Indian subcontinent."
Finger Millet,sandy,5.0,8.2,medium,well_drained,500,750,22,28,kharif,others,"Nutritious millet crop known as ragi. Excellent source of calcium and amino acids. Native to Ethiopian highlands but widely grown in India."
Foxtail Millet,sandy,6.5,7.5,low,well_drained,350,500,25,35,kharif,cotton,"Ancient grain crop with high nutritional value. Gluten-free and rich in protein. One of the oldest cultivated crops in India."
Proso Millet,sandy,6.0,7.0,low,well_drained,200,400,15,30,kharif,wheat,"Fast-growing millet crop that matures in 60-90 days. Highly drought-tolerant and nutritious. Used for food and fodder."
Barnyard Millet,loamy,5.5,6.5,medium,moderate,400,600,18,28,kharif,rice,"Nutritious millet crop with low glycemic index. Excellent substitute for rice. Rich in fiber and minerals."
Little Millet,sandy,5.0,6.5,low,well_drained,500,750,20,30,kharif,maize,"Small-seeded nutritious millet crop. High in protein and dietary fiber. Important food security crop in tribal areas."
Kodo Millet,clay,5.5,7.0,medium,moderate,400,800,25,35,kharif,rice,"Hardy millet crop that grows on poor soils. High protein content and good source of antioxidants. Traditional crop of central India."
Oats,loamy,6.0,7.0,medium,well_drained,400,700,10,20,rabi,rice,"Nutritious cereal crop rich in beta-glucan fiber. Helps reduce cholesterol levels. Increasingly popular health food."
Quinoa,sandy,6.0,8.5,medium,well_drained,250,400,15,20,rabi,wheat,"Complete protein grain crop native to Andes but adapted to Indian conditions. Superfood with all essential amino acids."
Amaranth,loamy,6.0,7.5,medium,well_drained,500,800,20,30,kharif,wheat,"Ancient grain crop with exceptional nutritional value. Complete protein source and gluten-free. Sacred crop in Indian culture."
Chickpea (Chana),loamy,6.2,7.8,medium,well_drained,400,650,15,25,rabi,cotton,"Most important pulse crop in India. Excellent source of protein and dietary fiber. Forms nitrogen-fixing nodules improving soil fertility."
Pigeon Pea (Arhar),loamy,6.0,7.5,medium,well_drained,600,1000,20,40,kharif,wheat,"Protein-rich pulse crop also known as red gram. Deep-rooted plant that improves soil structure and fertility."
Black Gram (Urad),loamy,6.5,7.5,high,well_drained,600,1000,25,35,kharif,rice,"Important pulse crop used to make dal and traditional foods. Rich in protein and minerals. Nitrogen-fixing legume."
Green Gram (Moong),sandy,6.2,7.2,medium,well_drained,500,750,25,30,kharif,wheat,"Highly digestible pulse crop rich in protein and vitamins. Short duration crop that fits well in cropping systems."
Lentil (Masur),loamy,6.0,7.0,medium,well_drained,300,400,15,25,rabi,rice,"Cool season pulse crop rich in protein iron and folate. Important component of vegetarian diet in India."
Field Pea,loamy,6.0,7.5,medium,well_drained,400,700,10,18,rabi,maize,"Cool season pulse crop grown for both food and fodder. High protein content and nitrogen-fixing ability."
Black-eyed Pea,sandy,5.5,6.8,medium,well_drained,500,1200,25,35,kharif,cotton,"Heat-tolerant pulse crop also known as cowpea. Good source of protein and adapts to marginal lands."
Cowpea,sandy,5.5,6.5,medium,well_drained,750,1250,25,35,kharif,wheat,"Dual-purpose crop grown for both grain and fodder. Highly nutritious and drought-tolerant legume."
Kidney Bean,loamy,6.0,7.0,high,well_drained,600,1200,15,25,rabi,rice,"Nutritious pulse crop rich in protein fiber and antioxidants. Popular in northern Indian cuisine."
Lima Bean,loamy,6.0,7.0,medium,well_drained,500,1000,18,24,kharif,maize,"Large-seeded pulse crop with high protein content. Also known as butter bean due to creamy texture."
Hyacinth Bean,clay,6.0,7.5,medium,moderate,600,1500,20,30,kharif,rice,"Multipurpose legume grown for pods leaves and tubers. Also known as lablab bean. Common in South Indian cuisine."
Horse Gram,sandy,6.0,7.5,low,well_drained,400,800,25,30,kharif,cotton,"Hardy pulse crop that grows on poor soils. High protein content and medicinal properties. Traditional crop of South India."
Moth Bean,sandy,7.0,8.5,low,well_drained,300,500,25,35,kharif,wheat,"Drought-resistant pulse crop adapted to arid regions. Nutritious and used in traditional Rajasthani cuisine."
Cluster Bean (Guar),sandy,7.0,8.5,low,well_drained,350,600,25,35,kharif,wheat,"Dual-purpose crop grown for vegetable pods and industrial gum. Source of guar gum used in food industry."
Winged Bean,loamy,5.5,7.0,high,well_drained,1000,1500,20,30,kharif,rice,"Tropical legume with edible pods leaves tubers and seeds. Known as four-angled bean. Highly nutritious superfood."
Broad Bean,loamy,6.0,7.5,high,well_drained,400,800,15,25,rabi,rice,"Cool season pulse crop also known as fava bean. Rich in protein folate and dietary fiber."
French Bean,loamy,6.0,7.0,high,well_drained,600,1000,18,24,rabi,wheat,"Popular vegetable crop grown for tender green pods. High in vitamins minerals and antioxidants."
Soybean,loamy,6.0,7.0,high,well_drained,450,700,20,30,kharif,wheat,"Complete protein oilseed crop with all essential amino acids. Major source of vegetable oil and protein meal."
Peanut (Groundnut),sandy,6.0,7.0,medium,well_drained,500,750,22,30,kharif,rice,"Important oilseed crop that fixes atmospheric nitrogen. Rich source of protein healthy fats and vitamins."
Velvet Bean,loamy,5.5,7.0,medium,well_drained,1000,1500,20,30,kharif,rice,"Medicinal legume crop used in Ayurveda. Contains L-DOPA compound beneficial for Parkinson's disease treatment."
Mustard,loamy,6.0,7.5,medium,well_drained,400,600,10,25,rabi,rice,"Important oilseed crop producing pungent oil used in cooking. Seeds used as spice and condiment."
Rapeseed,loamy,6.5,7.5,medium,well_drained,400,600,12,22,rabi,rice,"Cool season oilseed crop closely related to mustard. Produces oil used for cooking and industrial purposes."
Sunflower,sandy,6.5,8.5,medium,well_drained,400,700,20,25,rabi,maize,"High-yielding oilseed crop with edible oil and protein-rich cake. Also grown for ornamental purposes."
Safflower,sandy,6.8,7.8,low,well_drained,300,600,15,25,rabi,cotton,"Drought-tolerant oilseed crop producing oil rich in linoleic acid. Flowers used for natural dye production."
Sesame,sandy,5.5,8.0,medium,well_drained,500,700,25,30,kharif,wheat,"Ancient oilseed crop producing nutrient-rich oil and seeds. Seeds used in confectionery and traditional sweets."
Niger,sandy,6.0,7.5,medium,well_drained,800,1200,20,30,kharif,rice,"Small-seeded oilseed crop producing oil with high vitamin E content. Seeds also used as bird feed."
Linseed,loamy,6.0,7.5,medium,well_drained,450,750,15,25,rabi,rice,"Oilseed crop producing omega-3 rich oil. Used for industrial purposes and as health supplement."
Castor,sandy,6.0,7.5,low,well_drained,500,750,20,26,kharif,cotton,"Non-edible oilseed crop producing oil for industrial applications. Used in cosmetics pharmaceuticals and lubricants."
Olive,loamy,6.5,8.0,medium,well_drained,400,600,15,20,any,others,"Evergreen tree crop producing oil-rich fruits. Source of healthy monounsaturated fats and antioxidants."
Coconut,sandy,5.2,8.0,high,well_drained,1200,2000,27,32,any,others,"Versatile palm tree producing oil water fiber and food. Known as tree of life in tropical regions."
Oil Palm,loamy,4.5,6.5,high,well_drained,1800,2500,24,28,any,others,"High-yielding oil crop producing the most oil per unit area. Major source of palm oil for food and industry."
Cotton,sandy,5.8,8.0,medium,well_drained,500,1000,21,30,kharif,wheat,"Major fiber crop producing natural fiber for textile industry. Cottonseed oil used for cooking and industrial purposes."
Sugarcane,loamy,6.0,7.5,high,moderate,1200,1500,26,32,any,rice,"Important sugar crop and raw material for jaggery and ethanol production. Major cash crop in tropical regions."
Jute,loamy,5.5,7.5,high,moderate,1000,1500,24,35,kharif,rice,"Natural fiber crop producing strong biodegradable fiber. Used for making bags ropes and eco-friendly packaging."
Mesta,loamy,6.0,7.5,medium,moderate,1000,1200,25,35,kharif,rice,"Alternative fiber crop similar to jute. Produces strong fiber used in textile and packaging industries."
Tea,loamy,4.5,5.5,high,well_drained,1200,2500,20,30,any,others,"Evergreen shrub producing leaves for popular beverage. Rich in antioxidants and grown in hilly regions."
Coffee,loamy,6.0,7.0,high,well_drained,1500,2000,15,28,any,others,"Tropical crop producing beans for popular caffeinated beverage. Grown in shade under tree canopy."
Turmeric,loamy,5.0,7.5,high,well_drained,1000,1200,20,30,kharif,rice,"Medicinal spice crop with anti-inflammatory properties. Rhizomes used fresh dried and powdered in cooking."
Ginger,loamy,5.5,6.5,high,well_drained,1500,3000,25,30,kharif,rice,"Aromatic spice crop with medicinal properties. Fresh rhizomes used in cooking and traditional medicine."
Chili,sandy,6.0,7.0,medium,well_drained,600,1250,20,25,kharif,rice,"Pungent spice crop rich in vitamin C and capsaicin. Used fresh dried and powdered in Indian cuisine."
Black Pepper,loamy,5.5,6.5,high,well_drained,1250,2000,10,40,any,others,"King of spices climbing vine producing peppercorns. Used as spice and in traditional medicine."
Cardamom,loamy,5.0,6.5,high,well_drained,1500,4000,10,35,any,others,"Queen of spices producing aromatic pods. High-value spice crop grown in Western Ghats of India."
Coriander,loamy,6.5,7.5,medium,well_drained,400,700,20,30,rabi,rice,"Aromatic herb producing seeds and leaves used as spice. Essential ingredient in Indian cooking."
Cumin,sandy,6.8,8.3,medium,well_drained,400,500,25,30,rabi,rice,"Aromatic spice crop producing strongly flavored seeds. Essential spice in Indian Middle Eastern and Mexican cuisines."
Fennel,loamy,6.5,8.0,medium,well_drained,400,600,15,25,rabi,rice,"Aromatic herb producing sweet anise-flavored seeds. Used as spice mouth freshener and digestive aid."
Fenugreek,loamy,6.0,7.0,medium,well_drained,400,500,15,25,rabi,rice,"Dual-purpose crop producing seeds and leaves. Seeds used as spice and leaves as leafy vegetable."
Garlic,loamy,6.0,7.0,high,well_drained,450,600,15,25,rabi,rice,"Pungent bulb crop with medicinal properties. Essential flavoring agent in cuisines worldwide."
Onion,loamy,6.0,7.5,high,well_drained,650,750,15,25,rabi,rice,"Important bulb crop used as vegetable and flavoring agent. Rich in antioxidants and has antimicrobial properties."
Clove,loamy,5.5,6.5,high,well_drained,1500,2500,20,30,any,others,"Aromatic spice producing flower buds with strong flavor. Used in cooking traditional medicine and aromatherapy."
Nutmeg,loamy,5.5,7.0,high,well_drained,1500,2500,20,30,any,others,"Tropical spice tree producing aromatic seeds. Used in sweet and savory dishes and traditional medicine."
Cinnamon,loamy,5.5,6.5,high,well_drained,1250,2500,22,32,any,others,"Aromatic spice obtained from inner bark of evergreen trees. Used in cooking baking and traditional medicine."
Vanilla,loamy,6.0,7.5,high,well_drained,1500,3000,15,32,any,others,"Climbing orchid producing aromatic pods used as flavoring. Second most expensive spice after saffron."
Tomato,loamy,6.0,7.0,high,well_drained,600,1200,20,25,rabi,rice,"Popular fruit vegetable rich in lycopene and vitamins. Versatile ingredient used fresh cooked and processed."
Potato,loamy,5.0,6.0,high,well_drained,500,700,15,20,rabi,rice,"Important tuber crop and staple food. Rich in carbohydrates potassium and vitamin C."
Cabbage,loamy,6.0,6.5,high,well_drained,600,1000,15,20,rabi,rice,"Cool season leafy vegetable rich in vitamin C and fiber. Member of brassica family with anti-cancer properties."
Cauliflower,loamy,6.0,7.0,high,well_drained,600,1000,15,20,rabi,rice,"Cool season vegetable producing white compact heads. Rich in vitamins minerals and antioxidants."
Brinjal,loamy,6.5,7.5,high,well_drained,600,1000,22,32,kharif,rice,"Popular fruit vegetable also known as eggplant. Rich in fiber antioxidants and has cholesterol-lowering properties."
Okra,loamy,6.0,7.0,medium,well_drained,650,1000,25,35,kharif,wheat,"Heat-tolerant vegetable producing edible green pods. Rich in vitamins minerals and mucilage with health benefits."
Cucumber,sandy,6.0,7.0,high,well_drained,650,1000,20,30,zaid,wheat,"Refreshing fruit vegetable with high water content. Low in calories and rich in vitamins and minerals."
Bottle Gourd,loamy,6.0,7.0,high,well_drained,650,1000,20,35,kharif,wheat,"Large fruit vegetable used in Indian cuisine. Low in calories and rich in water and dietary fiber."
Bitter Gourd,loamy,6.0,7.0,high,well_drained,650,1200,24,27,kharif,wheat,"Medicinal vegetable with blood sugar lowering properties. Bitter in taste but highly nutritious."
Pumpkin,loamy,5.5,6.8,high,well_drained,650,800,18,27,kharif,wheat,"Nutritious winter squash rich in beta-carotene. Used as vegetable and in desserts and baked goods."
Watermelon,sandy,6.0,7.0,medium,well_drained,500,750,23,30,zaid,wheat,"Refreshing summer fruit with high water content. Rich in lycopene vitamins and electrolytes."
Muskmelon,sandy,6.0,7.0,medium,well_drained,400,600,25,35,zaid,wheat,"Sweet aromatic summer fruit rich in vitamin A. Low in calories and high in water content."
Carrot,sandy,6.0,6.8,medium,well_drained,600,1000,16,20,rabi,rice,"Root vegetable rich in beta-carotene and dietary fiber. Important source of vitamin A and antioxidants."
Radish,sandy,6.0,7.0,medium,well_drained,500,700,10,18,rabi,rice,"Fast-growing root vegetable with pungent flavor. Rich in vitamin C and has digestive properties."
Beetroot,loamy,6.0,7.5,high,well_drained,600,1000,15,20,rabi,rice,"Sweet root vegetable rich in folate and nitrates. Has blood pressure lowering and performance enhancing effects."
Turnip,loamy,6.0,7.0,medium,well_drained,500,750,15,20,rabi,rice,"Cool season root vegetable with mild flavor. Both roots and leaves are edible and nutritious."
Spinach,loamy,6.0,7.0,high,well_drained,350,400,15,25,rabi,rice,"Nutrient-dense leafy green vegetable rich in iron and vitamins. Popular in cuisines worldwide."
Lettuce,loamy,6.0,7.0,high,well_drained,375,500,15,20,rabi,rice,"Cool season leafy green with crisp texture. Low in calories and used fresh in salads and sandwiches."
Sweet Potato,sandy,5.8,6.2,medium,well_drained,750,1000,21,26,kharif,wheat,"Nutritious tuber crop rich in beta-carotene and complex carbohydrates. Sweet in taste and highly versatile."
Yam,loamy,5.5,6.5,high,well_drained,1000,1500,25,30,kharif,rice,"Starchy tuber crop with high carbohydrate content. Important food security crop in tropical regions."
Mango,loamy,6.0,7.5,high,well_drained,750,2500,24,27,any,others,"King of fruits producing sweet aromatic fruits. Rich in vitamin A C and antioxidants. National fruit of India."
Banana,loamy,5.5,7.0,high,well_drained,1200,2700,26,30,any,others,"Popular tropical fruit rich in potassium and vitamins. Fast-growing plant that produces year-round."
Papaya,loamy,6.0,6.5,high,well_drained,1000,1500,22,26,any,others,"Fast-growing fruit tree producing enzyme-rich fruits. Rich in vitamin C and digestive enzymes."
Guava,loamy,6.0,7.0,medium,well_drained,1000,2000,23,28,any,others,"Tropical fruit rich in vitamin C and dietary fiber. Both fruit and leaves have medicinal properties."
Pomegranate,sandy,6.5,7.5,medium,well_drained,500,700,15,35,any,others,"Antioxidant-rich fruit with numerous health benefits. Drought-tolerant crop adapted to arid regions."
Custard Apple,loamy,6.5,7.5,medium,well_drained,700,1000,20,28,any,others,"Sweet tropical fruit with creamy texture. Rich in vitamin C and antioxidants with cooling properties."
Jackfruit,loamy,6.0,7.5,high,well_drained,1500,2000,22,35,any,others,"Largest tree-borne fruit with sweet aromatic flesh. Rich in vitamins minerals and dietary fiber."
Litchi,loamy,5.5,7.0,high,well_drained,1200,1500,21,30,any,others,"Delicious tropical fruit with translucent sweet flesh. Rich in vitamin C and popular dessert fruit."
Grapes,loamy,6.0,7.0,medium,well_drained,500,700,15,35,any,others,"Popular fruit used fresh dried and for wine production. Rich in antioxidants and natural sugars."
Citrus Fruits,loamy,6.0,7.5,high,well_drained,1000,1500,13,37,any,others,"Group of fruits including orange lemon lime. Rich in vitamin C citric acid and flavonoids."
Fig,sandy,6.5,7.5,medium,well_drained,400,800,15,38,any,others,"Sweet nutritious fruit with unique texture. Rich in fiber potassium and antioxidants."
Date Palm,sandy,7.0,8.5,low,well_drained,100,200,20,50,any,others,"Desert fruit tree producing sweet energy-rich dates. Extremely drought-tolerant and adapted to arid conditions."
Tamarind,sandy,6.0,7.5,medium,well_drained,500,1500,20,40,any,others,"Tropical tree producing tangy pods used as souring agent. Rich in tartaric acid vitamins and minerals."
Amla,loamy,6.5,7.5,medium,well_drained,500,1000,10,46,any,others,"Vitamin C rich fruit with numerous health benefits. Sacred tree in Indian culture used in Ayurvedic medicine."
Jamun,loamy,6.0,7.5,medium,well_drained,1200,1800,25,32,any,others,"Purple fruit with anti-diabetic properties. Seeds and bark used in traditional medicine for diabetes management."
Bael,sandy,7.0,8.0,low,well_drained,500,1000,5,48,any,others,"Sacred fruit tree with medicinal properties. Fruit pulp used for digestive disorders and cooling drinks."
Drumstick,sandy,6.3,7.0,medium,well_drained,500,1200,25,35,any,others,"Multipurpose tree with edible pods leaves and flowers. Highly nutritious and drought-tolerant moringa tree."
Curry Leaves,loamy,6.0,7.5,medium,well_drained,1000,2400,20,40,any,others,"Aromatic herb essential in South Indian cuisine. Leaves rich in antioxidants and have medicinal properties."
Mint,loamy,6.0,7.0,high,moderate,600,800,10,30,any,rice,"Aromatic herb with cooling properties. Used in beverages cooking and traditional medicine."
Basil,loamy,6.0,7.0,medium,well_drained,1000,1200,20,30,kharif,others,"Sacred herb in Hindu culture with medicinal properties. Used in cooking aromatherapy and traditional medicine."
